country,Rank,Happiness Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Denmark,1,7.693,7.519909382,10.69957066,0.9514371753,70.04481506,0.9326279163,0.1275394261,0.1874076128,0.773763597,0.2085695118,0.5342527628,1.294512391,2.01157999,1.702373385,0.2263821661,0.278,0.2670909091,0.3652744889
Norway,2,7.655,7.678277016,11.05094433,0.9476574063,70.52483368,0.9465658665,0.1209223643,0.3680426776,0.8227498531,0.2128211111,0.6633405089,1.527816534,1.917715073,1.746017814,0.2273970842,0.257,0.2717272727,0.3188039958
Switzerland,3,7.65,7.776208878,10.93577576,0.9468638897,72.73400116,0.9454280138,0.1257273704,0.3232407868,0.8591072559,0.176007092,0.7699401975,1.529229045,1.879036784,1.564780593,0.2012266666,0.316,0.3275714286,0.3086293042
Netherlands,4,7.512,7.470715523,10.72351742,0.9388846755,71.0919342,0.8771186471,0.2760996222,0.4337537885,0.8606405854,0.2262898684,0.5745139122,1.396525025,1.886309624,1.351189137,0.1808647513,0.276,0.2869090909,0.3524535298
Sweden,5,7.48,7.560147762,10.67609787,0.9293974638,71.74086761,0.9443821907,0.1192442849,0.2535431087,0.8550999761,0.1702261269,0.6264972091,1.430477619,2.032324076,1.587887406,0.2100339085,0.271,0.2674545455,0.3197904229
Canada,6,7.477,7.415144444,10.64052105,0.9481283426,71.63430023,0.9179611206,0.2760964334,0.4656018317,0.8567036986,0.2293320894,0.5234481692,1.275260806,1.792761922,1.77270925,0.2390660495,,0.3368,0.8844138384
Finland,7,7.389,7.420209408,10.59445572,0.9277393818,70.67289734,0.9209681153,-0.01204581093,0.3607339561,0.7962850928,0.2016544342,0.5979415774,1.50073123,2.059122801,1.630132437,0.219688192,0.271,0.2759090909,0.3797109723
Austria,8,7.369,7.400688648,10.70505238,0.9451423883,70.94441223,0.9197039008,0.1092219725,0.7705857754,0.8222477436,0.156674996,0.3765738606,1.39467001,1.586992741,1.722668648,0.2327713966,0.311,0.3038181818,0.3234701455
Iceland,9,7.355,7.590660095,10.58997154,0.9789652824,72.80523682,0.9046545029,0.2337452918,0.7585856318,0.8997184634,0.157153815,0.2573355734,1.34399116,1.545394659,1.569349289,0.2067474127,0.268,0.2800909091,0.4028895199
Australia,10,7.35,7.195585728,10.65869617,0.9445990324,72.16123962,0.9351462722,0.2589762807,0.3682517409,0.8107417822,0.2143969089,0.4204191864,1.248593807,1.79015696,1.761226296,0.2447648197,,0.34275,0.4060564339
Israel,11,7.301,7.110854626,10.32817173,0.9034155011,71.74086761,0.6814392209,0.1451615542,0.8623272777,0.6651018262,0.3192314506,0.3435697556,-0.217279762,1.074690342,1.740085363,0.2447083294,0.414,0.411,0.2848124802
Costa Rica,12,7.257,7.272250175,9.538064003,0.9022068977,69.04761505,0.9289140701,0.04566192254,0.7943013906,0.8968852162,0.2630271316,0.280074805,0.8633111119,0.5524562001,2.141749144,0.2945098281,0.486,0.4913125,0.5061998963
New Zealand,13,7.221,7.249629974,10.41291523,0.9300286174,71.25901031,0.9018530846,0.2773782909,0.2892979383,0.8663041592,0.2068781704,0.6146999598,1.489543796,1.965111136,1.722624302,0.237615481,,,0.3853135407
United Arab Emirates,14,7.144,7.217766762,10.99897861,0.8558768034,67.89845276,0.9197925925,,,0.7676614523,0.2239853442,,-0.06878387928,0.8822219968,1.698895574,0.2353768945,,,0.4162938893
Panama,15,7.143,6.859835625,9.808291435,0.8973911405,67.20800781,0.7831825018,0.005216824822,0.7957966328,0.8685874939,0.2066413462,0.361556232,0.144992128,0.02814272419,2.303227901,0.3357555568,0.519,0.53675,0.394367218
Mexico,16,7.088,7.320185184,9.700418472,0.7672794461,67.31171417,0.7877683043,-0.09909848124,0.6332811117,0.7844792008,0.278110534,0.3614087999,-0.2748544216,-0.0315426439,2.074157,0.2833476067,0.481,0.48475,0.4264298677
United States,17,7.082,7.026226997,10.83011532,0.9031922817,69.7709198,0.8226622939,0.1992010176,0.71003443,0.8337712884,0.2596438527,0.3488556147,0.8970145583,1.467069626,2.163159847,0.3078693449,,0.4068,0.6290693283
Ireland,18,7.076,6.964645386,10.71657276,0.9617859125,70.86531067,0.9021945596,0.2918332815,0.5726322532,0.8352019787,0.2366615683,0.3458727002,1.131797075,1.579027534,1.870121717,0.2685164213,0.325,0.3255454545,0.470194757
