Country,Region,Rank,HappinessScore,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Norway,Western Europe,1,7.537,7.578744888,11.08178902,0.9501276612,71.086586,0.9530168176,0.2101040334,0.2497113794,0.8490999937,0.2029138058,0.7171597481
Denmark,Western Europe,2,7.522,7.593702316,10.74898911,0.9521000981,71.66249847,0.9554163218,0.1453870982,0.1811475605,0.823667407,0.2057753056,0.5723533034
Iceland,Western Europe,3,7.504,7.476213932,10.76040936,0.9667528272,72.75598145,0.938783288,0.2354787141,0.7268453836,0.8952545524,0.1481600106,0.3650419414
Switzerland,Western Europe,4,7.494,7.473593235,10.95554829,0.9496613741,73.17375946,0.9249969125,0.1678746641,0.3161834776,0.7739970684,0.1958714873,0.819706738
Finland,Western Europe,5,7.469,7.788251877,10.61233807,0.9638264179,71.69696045,0.9621989727,-0.01217365544,0.1924127787,0.7871370912,0.1760657877,0.5975385904
Netherlands,Western Europe,6,7.377,7.458965302,10.79181385,0.9365013242,71.61999512,0.920319736,0.2374404669,0.3631336391,0.8521848917,0.1845198423,0.6695536375
New Zealand,North America and ANZ,7,7.314,7.32718277,10.47576237,0.9549206495,71.61430359,0.942279458,0.2850567102,0.2218874842,0.8174312711,0.1717165709,0.6090154648
Australia,North America and ANZ,8,7.284,7.25703764,10.71182728,0.9499578476,72.78334045,0.9105501771,0.3016932607,0.411346525,0.7800788879,0.2253609747,0.4534069598
Sweden,Western Europe,9,7.284,7.286804676,10.77040577,0.9140167832,73.00654602,0.9345821142,0.155486837,0.2393669188,0.8135477901,0.1750668287,0.5594619513
Israel,Middle East and North Africa,10,7.213,7.331036091,10.40613174,0.9164408445,71.86508179,0.7680763006,0.1371585131,0.7926522493,0.6735913157,0.2764431536,0.3893681467
Costa Rica,Latin America and Caribbean,11,7.079,7.22518158,9.67063427,0.9216971397,69.86730194,0.9356184602,-0.07826852798,0.7423507571,0.8743958473,0.2754400671,0.4074484408
