date,month,month_long,mean_temp
16801.0,Jan,January,24
16802.0,Jan,January,23
16803.0,Jan,January,23
16804.0,Jan,January,17
16805.0,Jan,January,29
16806.0,Jan,January,33
16807.0,Jan,January,30
16808.0,Jan,January,25
16809.0,Jan,January,9
16810.0,Jan,January,11
16811.0,Jan,January,28
16812.0,Jan,January,24
16813.0,Jan,January,33
16814.0,Jan,January,40
16815.0,Jan,January,29
16816.0,Jan,January,19
16817.0,Jan,January,5
16818.0,Jan,January,11
16819.0,Jan,January,22
16820.0,Jan,January,28
16821.0,Jan,January,25
16822.0,Jan,January,22
16823.0,Jan,January,28
16824.0,Jan,January,30
16825.0,Jan,January,26
16826.0,Jan,January,29
16827.0,Jan,January,33
16828.0,Jan,January,41
16829.0,Jan,January,41
16830.0,Jan,January,39
16831.0,Jan,January,35
16832.0,Feb,February,31
16833.0,Feb,February,27
16834.0,Feb,February,17
16835.0,Feb,February,18
16836.0,Feb,February,28
16837.0,Feb,February,24
16838.0,Feb,February,36
16839.0,Feb,February,31
16840.0,Feb,February,26
16841.0,Feb,February,37
16842.0,Feb,February,32
16843.0,Feb,February,23
16844.0,Feb,February,19
16845.0,Feb,February,35
16846.0,Feb,February,36
16847.0,Feb,February,41
16848.0,Feb,February,41
16849.0,Feb,February,48
16850.0,Feb,February,52
16851.0,Feb,February,42
16852.0,Feb,February,40
16853.0,Feb,February,35
16854.0,Feb,February,36
16855.0,Feb,February,35
16856.0,Feb,February,31
16857.0,Feb,February,39
16858.0,Feb,February,50
16859.0,Feb,February,44
16860.0,Feb,February,34
16861.0,Mar,March,32
16862.0,Mar,March,39
16863.0,Mar,March,38
16864.0,Mar,March,45
16865.0,Mar,March,45
16866.0,Mar,March,56
16867.0,Mar,March,55
16868.0,Mar,March,45
16869.0,Mar,March,43
16870.0,Mar,March,46
16871.0,Mar,March,50
16872.0,Mar,March,46
16873.0,Mar,March,55
16874.0,Mar,March,53
16875.0,Mar,March,45
16876.0,Mar,March,40
16877.0,Mar,March,37
16878.0,Mar,March,31
16879.0,Mar,March,30
16880.0,Mar,March,33
16881.0,Mar,March,55
16882.0,Mar,March,58
16883.0,Mar,March,40
16884.0,Mar,March,30
16885.0,Mar,March,38
16886.0,Mar,March,31
16887.0,Mar,March,37
16888.0,Mar,March,45
16889.0,Mar,March,50
16890.0,Mar,March,47
16891.0,Mar,March,39
16892.0,Apr,April,35
16893.0,Apr,April,48
16894.0,Apr,April,60
16895.0,Apr,April,49
16896.0,Apr,April,56
16897.0,Apr,April,52
16898.0,Apr,April,45
16899.0,Apr,April,42
16900.0,Apr,April,46
16901.0,Apr,April,51
16902.0,Apr,April,40
16903.0,Apr,April,50
16904.0,Apr,April,60
16905.0,Apr,April,61
16906.0,Apr,April,63
16907.0,Apr,April,52
16908.0,Apr,April,44
16909.0,Apr,April,46
16910.0,Apr,April,46
16911.0,Apr,April,49
16912.0,Apr,April,57
16913.0,Apr,April,51
16914.0,Apr,April,63
16915.0,Apr,April,63
16916.0,Apr,April,57
16917.0,Apr,April,53
16918.0,Apr,April,44
16919.0,Apr,April,43
16920.0,Apr,April,44
16921.0,Apr,April,43
16922.0,May,May,46
16923.0,May,May,45
16924.0,May,May,52
16925.0,May,May,56
16926.0,May,May,58
16927.0,May,May,66
16928.0,May,May,62
16929.0,May,May,62
16930.0,May,May,58
16931.0,May,May,64
16932.0,May,May,56
16933.0,May,May,55
16934.0,May,May,50
16935.0,May,May,45
16936.0,May,May,45
16937.0,May,May,47
16938.0,May,May,53
16939.0,May,May,53
16940.0,May,May,57
16941.0,May,May,55
16942.0,May,May,62
16943.0,May,May,69
16944.0,May,May,67
16945.0,May,May,66
16946.0,May,May,69
16947.0,May,May,66
16948.0,May,May,65
16949.0,May,May,66
16950.0,May,May,67
16951.0,May,May,70
16952.0,May,May,64
16953.0,Jun,June,70
16954.0,Jun,June,67
16955.0,Jun,June,72
16956.0,Jun,June,65
16957.0,Jun,June,67
16958.0,Jun,June,66
16959.0,Jun,June,63
16960.0,Jun,June,75
16961.0,Jun,June,80
16962.0,Jun,June,81
16963.0,Jun,June,81
16964.0,Jun,June,81
16965.0,Jun,June,75
16966.0,Jun,June,73
16967.0,Jun,June,78
16968.0,Jun,June,82
16969.0,Jun,June,81
16970.0,Jun,June,75
16971.0,Jun,June,80
16972.0,Jun,June,73
16973.0,Jun,June,80
16974.0,Jun,June,72
16975.0,Jun,June,69
16976.0,Jun,June,78
16977.0,Jun,June,73
16978.0,Jun,June,71
16979.0,Jun,June,75
16980.0,Jun,June,71
16981.0,Jun,June,72
16982.0,Jun,June,72
16983.0,Jul,July,64
16984.0,Jul,July,59
16985.0,Jul,July,64
16986.0,Jul,July,72
16987.0,Jul,July,78
16988.0,Jul,July,76
16989.0,Jul,July,73
16990.0,Jul,July,70
16991.0,Jul,July,79
16992.0,Jul,July,83
16993.0,Jul,July,75
16994.0,Jul,July,71
16995.0,Jul,July,75
16996.0,Jul,July,74
16997.0,Jul,July,67
16998.0,Jul,July,71
16999.0,Jul,July,75
17000.0,Jul,July,77
17001.0,Jul,July,80
17002.0,Jul,July,81
17003.0,Jul,July,81
17004.0,Jul,July,85
17005.0,Jul,July,81
17006.0,Jul,July,75
17007.0,Jul,July,73
17008.0,Jul,July,74
17009.0,Jul,July,74
17010.0,Jul,July,70
17011.0,Jul,July,70
17012.0,Jul,July,72
17013.0,Jul,July,77
17014.0,Aug,August,79
17015.0,Aug,August,77
17016.0,Aug,August,78
17017.0,Aug,August,72
17018.0,Aug,August,68
17019.0,Aug,August,70
17020.0,Aug,August,69
17021.0,Aug,August,69
17022.0,Aug,August,77
17023.0,Aug,August,81
17024.0,Aug,August,80
17025.0,Aug,August,72
17026.0,Aug,August,71
17027.0,Aug,August,72
17028.0,Aug,August,73
17029.0,Aug,August,77
17030.0,Aug,August,77
17031.0,Aug,August,78
17032.0,Aug,August,67
17033.0,Aug,August,63
17034.0,Aug,August,64
17035.0,Aug,August,76
17036.0,Aug,August,75
17037.0,Aug,August,66
17038.0,Aug,August,66
17039.0,Aug,August,62
17040.0,Aug,August,71
17041.0,Aug,August,75
17042.0,Aug,August,73
17043.0,Aug,August,71
17044.0,Aug,August,70
17045.0,Sep,September,66
17046.0,Sep,September,66
17047.0,Sep,September,68
17048.0,Sep,September,72
17049.0,Sep,September,77
17050.0,Sep,September,67
17051.0,Sep,September,73
17052.0,Sep,September,69
17053.0,Sep,September,64
17054.0,Sep,September,60
17055.0,Sep,September,68
17056.0,Sep,September,60
17057.0,Sep,September,56
17058.0,Sep,September,54
17059.0,Sep,September,68
17060.0,Sep,September,63
17061.0,Sep,September,62
17062.0,Sep,September,69
17063.0,Sep,September,67
17064.0,Sep,September,72
17065.0,Sep,September,75
17066.0,Sep,September,65
17067.0,Sep,September,76
17068.0,Sep,September,66
17069.0,Sep,September,54
17070.0,Sep,September,56
